key,press_time,release_time,hold_time,flight_time
,1771961499.1062922,1771961499.1952546,0.08896231651306152,0
Key.ctrl_l,1771961498.8722064,1771961499.3175604,0.44535398483276367,-0.32304811477661133
,1771961789.905793,1771961790.0187466,0.11295366287231445,0
Key.ctrl_l,1771961789.606522,1771961790.0795066,0.47298455238342285,-0.41222453117370605
Key.tab,1771961790.5066364,1771961790.6421933,0.13555693626403809,0.42712974548339844
Key.alt_l,1771961790.338271,1771961791.6545203,1.3162493705749512,-0.3039224147796631
Key.alt_l,1771961831.644941,1771961831.8310704,0.18612933158874512,39.99042081832886
Key.tab,1771961831.7469084,1771961831.8732393,0.12633085250854492,-0.08416199684143066
c,1771992102.6041455,1771992102.7179446,0.1137990951538086,0
o,1771992102.7265978,1771992102.8687983,0.14220046997070312,0.00865316390991211
d,1771992102.8559391,1771992103.025245,0.16930580139160156,-0.012859106063842773
Key.space,1771992102.9676385,1771992103.1037664,0.13612794876098633,-0.05760645866394043
e,1771992102.982876,1771992103.1381226,0.15524649620056152,-0.12089037895202637
Key.backspace,1771992103.4430275,1771992103.5317326,0.08870506286621094,0.3049049377441406
Key.backspace,1771992103.609841,1771992103.6987553,0.08891415596008301,0.07810854911804199
e,1771992103.6725583,1771992103.8349998,0.16244149208068848,-0.026196956634521484
Key.space,1771992103.7360249,1771992103.8928556,0.1568307876586914,-0.09897494316101074
.,1771992103.852839,1771992103.9654536,0.11261463165283203,-0.04001665115356445
Key.enter,1771992104.1220531,1771992104.2302263,0.10817313194274902,0.1565995216369629
Key.shift_r,1771992116.8312032,1771992117.0009038,0.16970062255859375,12.600976943969727
Key.right,1771992117.3948705,1771992117.597334,0.20246338844299316,0.3939666748046875
Key.ctrl_l,1771992131.0163267,1771992133.131835,2.1155083179473877,13.418992757797241
a,1771992150.158883,1771992150.2795718,0.12068867683410645,17.027048110961914
b,1771992150.4013731,1771992150.4823108,0.08093762397766113,0.12180137634277344
h,1771992150.604337,1771992150.6729386,0.06860160827636719,0.12202620506286621
i,1771992150.7561333,1771992150.8891106,0.13297724723815918,0.08319473266601562
j,1771992150.8683126,1771992150.953335,0.0850224494934082,-0.0207979679107666
i,1771992151.0178165,1771992151.1287112,0.11089468002319336,0.06448149681091309
t,1771992151.1723402,1771992151.3009403,0.1286001205444336,0.04362893104553223
h,1771992151.263517,1771992151.3616524,0.09813547134399414,-0.03742337226867676
Key.space,1771992151.4259856,1771992151.5291653,0.1031796932220459,0.06433320045471191
o,1771992151.6456718,1771992151.8001795,0.15450763702392578,0.11650657653808594
Key.backspace,1771992152.041155,1771992152.1900556,0.14890050888061523,0.24097561836242676
p,1771992152.6238737,1771992152.741607,0.11773324012756348,0.43381810188293457
m,1771992152.6943154,1771992152.7814229,0.08710741996765137,-0.04729151725769043
l,1771992179.2505116,1771992179.3743415,0.12382984161376953,26.469088792800903
i,1771992179.4320655,1771992179.5068252,0.07475972175598145,0.0577239990234375
t,1771992179.5953124,1771992179.7132819,0.11796951293945312,0.08848714828491211
h,1771992179.6793091,1771992179.8753142,0.19600510597229004,-0.033972740173339844
u,1771992179.7915246,1771992179.9068406,0.11531591415405273,-0.08378958702087402
Key.alt_l,1771992210.7054725,1771992210.9294121,0.2239396572113037,30.7986319065094
Key.tab,1771992210.8459682,1771992210.9744208,0.12845253944396973,-0.08344388008117676
Key.print_screen,1771992220.0118463,1771992220.086301,0.07445478439331055,9.037425518035889
Key.tab,1771992223.8871675,1771992224.015676,0.1285085678100586,3.8008663654327393
Key.alt_l,1771992223.755778,1771992224.1130123,0.35723423957824707,-0.25989794731140137
c,1771992225.9713492,1771992226.0850072,0.11365795135498047,1.8583369255065918
h,1771992226.0621426,1771992226.129824,0.06768131256103516,-0.022864580154418945
a,1771992226.13317,1771992226.298027,0.1648571491241455,0.003345966339111328
t,1771992226.2460637,1771992226.3631089,0.11704516410827637,-0.05196332931518555
Key.enter,1771992226.6586688,1771992226.7631204,0.10445165634155273,0.2955598831176758
,1771992234.2046125,1771992234.2985194,0.09390687942504883,7.441492080688477
Key.ctrl_l,1771992234.0448673,1771992234.3442032,0.29933595657348633,-0.25365209579467773
g,1771992234.753037,1771992234.8517013,0.0986642837524414,0.40883374214172363
i,1771992234.839466,1771992234.938383,0.09891700744628906,-0.012235164642333984
v,1771992234.9725323,1771992235.0617971,0.0892648696899414,0.034149169921875
e,1771992234.9930074,1771992235.1723387,0.17933130264282227,-0.06878972053527832
Key.space,1771992235.1351314,1771992235.244172,0.10904073715209961,-0.03720736503601074
q,1771992235.2765467,1771992235.400585,0.1240382194519043,0.03237462043762207
Key.backspace,1771992235.7009535,1771992235.8294034,0.1284499168395996,0.3003685474395752
a,1771992235.8152626,1771992235.9299266,0.11466407775878906,-0.014140844345092773
Key.space,1771992235.861919,1771992235.9720852,0.11016631126403809,-0.0680077075958252
g,1771992236.4198368,1771992236.4881756,0.06833887100219727,0.447751522064209
o,1771992236.517739,1771992236.5744417,0.056702613830566406,0.029563426971435547
o,1771992236.6818066,1771992236.7582183,0.07641172409057617,0.10736489295959473
d,1771992236.7876046,1771992236.891833,0.10422849655151367,0.029386281967163086
Key.space,1771992236.8419943,1771992236.965479,0.12348461151123047,-0.04983878135681152
g,1771992242.02572,1771992242.0910113,0.0652914047241211,5.060240983963013
i,1771992242.1333802,1771992242.2291574,0.09577727317810059,0.04236888885498047
t,1771992242.2667892,1771992242.3482223,0.08143305778503418,0.03763175010681152
i,1771992243.1566179,1771992243.2441103,0.08749246597290039,0.8083956241607666
g,1771992243.2567818,1771992243.330015,0.07323312759399414,0.012671470642089844
n,1771992243.338466,1771992243.412717,0.07425117492675781,0.008450984954833984
o,1771992243.5085957,1771992243.5792227,0.07062697410583496,0.09587860107421875
r,1771992243.582023,1771992243.6965158,0.11449289321899414,0.0028002262115478516
e,1771992243.627768,1771992243.731512,0.1037440299987793,-0.06874775886535645
Key.enter,1771992243.7797997,1771992243.823544,0.04374432563781738,0.04828763008117676
Key.alt_l,1771992303.3862152,1771992303.5834625,0.19724726676940918,59.562671184539795
Key.tab,1771992303.5385635,1771992303.65336,0.11479640007019043,-0.04489898681640625
,1771992308.3321886,1771992308.458443,0.12625432014465332,4.678828716278076
,1771992308.8422046,1771992308.9063087,0.06410408020019531,0.3837616443634033
,1771992309.5274801,1771992309.6242778,0.09679770469665527,0.6211714744567871
Key.ctrl_l,1771992307.9658477,1771992309.9891593,2.0233116149902344,-1.6584300994873047
Key.alt_l,1771992310.1450272,1771992310.4422884,0.29726123809814453,0.1558678150177002
Key.tab,1771992310.8255115,1771992310.9804554,0.15494394302368164,0.3832230567932129
Key.alt_l,1771992310.5757911,1771992311.0647686,0.48897743225097656,-0.4046642780303955
Key.alt_l,1771992317.0498636,1771992317.297821,0.24795746803283691,5.985095024108887
Key.tab,1771992317.1745398,1771992317.3032076,0.12866783142089844,-0.12328124046325684
,1771992318.6894372,1771992318.7656128,0.07617568969726562,1.3862295150756836
,1771992319.8423214,1771992319.916631,0.0743095874786377,1.0767085552215576
Key.ctrl_l,1771992318.338389,1771992320.1995432,1.861154317855835,-1.5782420635223389
Key.enter,1771992389.5148458,1771992389.5961125,0.08126664161682129,69.31530261039734
,1771992423.3932557,1771992423.4946964,0.1014406681060791,33.79714322090149
Key.ctrl_l,1771992423.238049,1771992423.696717,0.4586679935455322,-0.25664734840393066
,1771992424.5852284,1771992424.6721108,0.08688235282897949,0.8885114192962646
Key.ctrl_l,1771992424.3438845,1771992424.8891816,0.5452971458435059,-0.32822632789611816
Key.tab,1771992425.3214214,1771992425.4693246,0.1479032039642334,0.4322397708892822
Key.alt_l,1771992425.2517836,1771992425.7193036,0.46751999855041504,-0.21754097938537598
Key.tab,1771992439.89977,1771992440.0435836,0.1438136100769043,14.180466413497925
Key.alt_l,1771992439.8120623,1771992440.2519095,0.4398472309112549,-0.2315213680267334
Key.cmd,1771992444.3897245,1771992444.410175,0.020450592041015625,4.137814998626709
Key.shift,1771992443.160365,1771992444.44257,1.2822048664093018,-1.249809980392456
Key.print_screen,1771992445.0702598,1771992445.1404898,0.07023000717163086,0.6276898384094238
Key.alt_l,1771992447.953887,1771992448.2068408,0.25295376777648926,2.813397169113159
Key.tab,1771992448.052362,1771992448.210612,0.158250093460083,-0.1544787883758545
,1771992449.5044775,1771992449.562252,0.05777454376220703,1.293865442276001
Key.ctrl_l,1771992449.3378208,1771992449.5931807,0.2553598880767822,-0.22443127632141113
l,1771992451.6809459,1771992451.7654057,0.08445978164672852,2.0877652168273926
o,1771992451.857489,1771992451.9490104,0.0915212631225586,0.09208345413208008
o,1771992452.0503967,1771992452.1398325,0.08943581581115723,0.10138630867004395
k,1771992452.080782,1771992452.19508,0.11429810523986816,-0.059050559997558594
Key.space,1771992452.2198896,1771992452.3199863,0.1000967025756836,0.024809598922729492
i,1771992453.4261467,1771992453.5282373,0.10209059715270996,1.1061604022979736
Key.space,1771992453.5569832,1771992453.660401,0.10341787338256836,0.02874588966369629
d,1771992453.9039273,1771992453.9975693,0.09364199638366699,0.24352622032165527
i,1771992454.0215206,1771992454.1317291,0.11020851135253906,0.023951292037963867
